team,group,live_elo,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_best_third_qualifier,prob_reach_round_32,prob_reach_round_16,prob_reach_quarter_final,prob_reach_semi_final,prob_reach_final,prob_champion,prob_group_exit,prob_round_32_exit,prob_round_16_exit,prob_quarter_final_exit,prob_semi_final_exit,prob_runner_up,champion_rank,cupmarket_price,market_rank,previous_price,price_change,price_change_percent,generated_at_utc,model_version,bracket_mode
Argentina,J,2202.712195437658,1.0,0.0,0.0,0.0,1.0,0.9478,0.81715,0.6253,0.45125,0.33895,0.0,0.052200000000000024,0.13064999999999993,0.19185000000000008,0.17404999999999998,0.11230000000000001,1,69.92,1,69.96,-0.03999999999999204,-0.05717552887363071,2026-06-30T06:20:50.795144+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Brazil,C,2092.2793100842528,1.0,0.0,0.0,0.0,1.0,1.0,0.6405,0.4692,0.2427,0.0914,0.0,0.0,0.35950000000000004,0.17129999999999995,0.2265,0.1513,4,57.21,2,56.86,0.3500000000000014,0.6155469574393272,2026-06-30T06:20:50.795144+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
France,I,2162.8624284479024,1.0,0.0,0.0,0.0,1.0,0.9145,0.65535,0.3514,0.17405,0.11485,0.0,0.08550000000000002,0.25915,0.30395,0.17734999999999998,0.059200000000000016,3,53.19,3,52.5,0.6899999999999977,1.31428571428571,2026-06-30T06:20:50.795144+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Spain,H,2185.601557694717,1.0,0.0,0.0,0.0,1.0,0.77125,0.5477,0.4114,0.3008,0.1516,0.0,0.22875,0.22355000000000003,0.13629999999999998,0.11059999999999998,0.1492,2,52.54,4,52.28,0.259999999999998,0.49732211170619356,2026-06-30T06:20:50.795144+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
England,L,2087.9828858374626,1.0,0.0,0.0,0.0,1.0,0.8326,0.5489,0.3114,0.1137,0.0698,0.0,0.1674,0.28369999999999995,0.23750000000000004,0.19770000000000001,0.043899999999999995,5,47.45,5,47.62,-0.1699999999999946,-0.3569928601427858,2026-06-30T06:20:50.795144+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Colombia,K,2064.832719368864,1.0,0.0,0.0,0.0,1.0,0.8898,0.57345,0.20275,0.09815,0.05095,0.0,0.11019999999999996,0.31635,0.37070000000000003,0.10460000000000001,0.0472,6,46.11,6,46.06,0.04999999999999716,0.1085540599218349,2026-06-30T06:20:50.795144+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Canada,B,1859.4655817712417,0.0,1.0,0.0,0.0,1.0,1.0,0.5228,0.17805,0.06205,0.0166,0.0,0.0,0.47719999999999996,0.34475,0.11600000000000002,0.045450000000000004,11,45.2,7,45.33,-0.12999999999999545,-0.28678579307301005,2026-06-30T06:20:50.795144+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Paraguay,D,1910.0130491359168,0.0,0.0,1.0,1.0,1.0,1.0,0.4772,0.16375,0.04465,0.00775,0.0,0.0,0.5227999999999999,0.31345,0.11910000000000001,0.0369,15,43.6,8,43.66,-0.05999999999999517,-0.13742556115436366,2026-06-30T06:20:50.795144+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
United States,D,1881.728285285661,1.0,0.0,0.0,0.0,1.0,0.80545,0.5012,0.18265,0.0896,0.0176,0.0,0.19455,0.30425,0.31855,0.09305000000000001,0.072,10,42.37,9,42.59,-0.22000000000000597,-0.5165531814980182,2026-06-30T06:20:50.795144+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Morocco,C,2041.1018340713665,0.0,1.0,0.0,0.0,1.0,1.0,0.3277,0.14025,0.04665,0.02185,0.0,0.0,0.6723,0.18744999999999998,0.09360000000000002,0.024799999999999996,9,40.39,10,26.59,13.8,51.899210229409555,2026-06-30T06:20:50.795144+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
